behavior,behavior_description,behavior_source,start_date,end_date,vertical,vertical_evidence,vertical_source,horizontal,horizontal_evidence,horizontal_source,oblique,oblique_evidence,oblique_source,domains,domains_evidence,domains_source,anth_effects,anth_source,group_id,behavior_id
Northeastern North Atlantic fin whale subpopulation song,"Internote intervals (INIs) acoustic feature of song used to measure between-population differences. In this study, recordings in Mediterranean ""reveal two clear patterns of INI differences and similarities between deployment areas. Songs recorded in areas of strictly Mediterranean influence (Provençal basin and Columbretes archipelago) have INIs of almost 15 s, while songs recorded in deployment areas of North Atlantic influence (Alboran basin and Strait of Gibraltar) or that are strictly in the North Atlantic (Azores archipelago) have INIs of 12–13 s...The presence of 135–140 Hz upsweep song notes as well as some songs composed exclusively of back-beats suggest that singers detected in the Azores archipelago, Strait of Gibraltar, and Alboran basin are associated with the northeastern North Atlantic subpopulation, because these particular song notes have been exclusively reported in this region of the North Atlantic (Hatch and Clark 2004)...Our results indicate that some male fin whales from the northeastern North Atlantic subpopulation cross the Strait of Gibraltar and enter the Mediterranean Sea, remaining in these areas at least during winter. Results also suggest that males from the Mediterranean subpopulation do not include these areas within their distribution range. Therefore, distribution limits and possible range overlap between males from these two subpopulations must occur within the Mediterranean basin, east of the Alboran basin."" (Castellote et al. 2011)",castellote2011,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,"""The presence or absence of 20 Hz notes reflects the presence or absence of male fin whales, respectively, because this is a species-specific and male-specific acoustic behavior.""",castellote2011,"""The current description of fin whale stocks defines a single subpopulation in the Mediterranean Sea (IWC 2009). Our acoustic results strongly suggest that two different subpopulations use the Mediterranean basin. This interpretation has important conservation implications since it implies that the distribution range of Mediterranean fin whales is smaller than previously defined and that two subpopulations are exploiting the same Mediterranean niche, and likely competing for the same resources. Human pressure (in the form of noise and water pollution, for instance) may affect the ecological balance of this competition since the allostatic load of Mediterranean resident whales might be heavier than nonresident North Atlantic whales.""",castellote2011,700059,66
Northern Resident killer whales whistles,"form of underwater communication distinct from pulsed calls; for NR whales used mainly during socializing in close physical proximity. Stereotyped whistles are ""repetitive with a distinct spectrographic contour"". Unlike other delphinids which use signature whistles for individual identification, orcas have stable matrilines without dispersal and used in short-range rather than long-range communication, so ""group identity encoded in stereotyped signals is probably more important than the individual identity of the group members"" and individuals from different matrilines use the same whistle types (Riesch et al. 2006).",riesch2006,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"""Vocal learning is the most probable mechanism behind vocal mimicry (Ford, 1991, Janik and Slater, 1997) as well as horizontal transmission of discrete calls in wild killer whales (Deecke et al. 2000). We believe our results provide evidence that stereotyped whistles are also learned."" Findings that whistle types changed in WG from 1970s to 1990s in the A-clan and long lifespans of whales indicates learning continues into adulthood and during socializing with other clans (Riesch et al. 2006)",riesch2006,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,"""stereotyped whistles are evidently used for close-range signalling. Many behaviours that take place during close-range interactions are affiliative in nature (Ford 1989). Shared stereotyped whistles might provide a community-level means of recognition that facilitates association and affiliation of members of different clans, which otherwise use distinct signals."" (Riesch et al. 2006)",riesch2006,noise from sea vessels,riesch2006,700060,67
Northern theme Savannah sparrows song dialect,"Males of this species sing a song type with introductory syllables and trill. Variation in song structure, from the level of individual syllables to that of whole song types, was investigated in populations of the Savannah Sparrow in southwestern Ontario. Eight populations were sampled along a north-south transect and grouped into northern and southern themes based on analysis of syllable similarity song type correlated by goegraphic distance. Riversdale, Belgrave, and Cliton populations fell into northern theme (Sung & Handford 2006)",sunghandford2006,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating; migration,,sunghandford2006,not searched,not searched,700061,68
Northern vulture population anthropic resource foraging,"""Vultures from the Northern population, which was characterized by a larger and more predictable ungulate carrion offer than the Sothern population, most frequently visited carcass-dumping sites and intensive farms (36.3% and 34.6%, respectively), followed by landfills (10.7%). Accordingly, the main resources consumed there were livestock (85%) and rubbish (11.5%)...We found that vultures of the Northern population frequently used anthropic and predictable resources, such as those that are present in landfills...Northern vultures tended to co-occur more and are more interconnected than Southern vultures. These patterns may be primarily explained by the higher availability of predictable carrion sources in the Northern population compared to the Southern population"" (Arrondo et al. 2023)",arrondo2023,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"""Consistent with the ‘cultural trait’ scenario, we found that inter-population differences in foraging and diet remained even in the shared foraging area, where vultures preferentially co-occurred with and were more connected to individuals from their own population. This indicates that individual vultures maintain the foraging preferences of their populations even far from them, feeding on the resources they use to consume in their areas of origin."" (Arrondo et al. 2023)",arrondo2023,suspected unknown,suspected unknown,suspected unknown,foraging,,arrondo2023,"""In our study system, the consumption of predictable resources, such as carrion in landfills or intensive livestock farms, entails greater human-related risks, including greater exposure to poison, pharmaceuticals, and electrocution and collision in power lines [18,30], which, in turn, might cause the higher mortality rates and lower health status described for male vultures in the Northern compared to the Southern study populations [30,54]."" (Arrondo et al. 2023)",arrondo2023,700062,69
nSMO sabrewings song dialect,"Males sing during breeding season, display geographic variation particularly in introduction syllable and syllable repertoire. Males in leks in northern Sierra Madre Oriental ""had a smaller number of elements and number of different elements in the introductory syllable than southern leks, but the pool of syllables (number of different syllables and number of exclusive syllables) was equally diverse in the northern and southern leks"" (Gonzalez & Francisco Ornelas 2014)",gonzalez2014,not searched,not searched,unclear,"""whether wedge-tailed sabrewings learn their songs in their natal lek or not is an open question that cannot be answered with our current data"" (Gonzalez & Francisco Ornelas 2014)",gonzalez2014,suspected unknown,"""Dispersal patterns of wedge-tailed sabrewings are not known, however, the observed geographic structure of song without genetic differentiation among lek members suggests that wedge-tailed sabrewings learn their vocalizations after dispersal,....song neighborhoods within leks of wedge-tailed sabrewings [37] are not static over time because new local or foreign syllables are incorporated each year, and apparently some syllables go extinct....our previous work indicates that males alter their singing display over time [37], suggesting that vocal learning in this species may also be open-ended... Despite the observed geographic pattern of acoustic variation, and the vanishingly small to zero gene flow pattern in the south-to-north direction, no genetic structure was detected. Therefore, the strong differentiation of curvipennis songs along the Sierra Madre Oriental lend support to the idea that song sharing between lek members (or sharing songs with closest neighbor in leks with song neighborhoods [37]) confers social benefits that may increase reproductive success"" (Gonzalez & Francisco Ornelas 2014)",gonzalez2014,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,males are polygynous and sing while congregating in leks during breeding season,gonzalez2014,not searched,not searched,700063,70
Oitenta group stick and stone tool use,"""we recorded 677 tool use episodes. Five hundred and seventeen of these involved the use of stones, and 160 involved the use of sticks (or other plant parts) as probes to access water, arthropods, or the contents of insects’ nests. Stones were mostly used as ‘‘hammers’’—not only to open fruit or seeds, or smash other food items, but also to break dead wood, conglomerate rock, or cement in search of arthropods, to dislodge bigger stones, and to pulverize embedded quartz pebbles (licking, sniffing, or rubbing the body with the powder produced). Stones also were used in a ‘‘hammerlike’’ fashion to loosen the soil for digging out roots and arthropods, and sometimes as ‘‘hoes’’ to pull the loosened soil."" (Mannu & Ottoni 2009)",mannu2009,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,mannu2009,not searched,not searched,700064,71
Okinawa horseshoe bats North colonies echolocation call frequency,"Echolocation sampled from caves across Okinawa, labeled north or south colonies (caves or tunnels). North colonies mainly in artificial tunnels. ""On Okinawa-jima, the range in CF was 105.9–118.2 kHz in males, and 108.2–118.9 kHz in females, with a clear bimodal geographic pattern, and intermediates between the two distributions near the putative geographic barrier..First, two regions were defined where CF was statistically similar — ‘low frequency region, LFR’ (N1–N3 and N5; 106–110 kHz for males and 108–112 kHz for females; excluding N4) and ‘high frequency region; HFR’ (S1–S3, 114–118 kHz for males and 115–119 kHz for females). Second, regions with similar CF can also be recognized based on the bimodal CF frequency distribution — ‘north region, NR’ (N1–N5 and M; 106–113 for males and 108– 113 kHz for females) and ‘south region, SR’ (S1–S4, 112– 118 kHz for males and 112–119 kHz for females)."" (Yoshino et al. 2008)",yoshino2008,not searched,not searched,yes,"“The maternal transmission hypothesis predicts that the divergence of CF between regions is maintained by (i) the transmission of a colony signature CF from mother to offspring; (ii) females have limited dispersal between regions; and (iii) maternally inherited traits tend to spread faster than neutral nuclear genetic makers owing to a smaller effective population size…The conditions for this hypothesis were met in the present study, namely that (i) divergence of mtDNA markers was observed between regions with different mean CF (supported by the Mantel test); (ii) the degree of genetic divergence estimated by maternally inherited genetic markers was larger than that of nuclear markers, and (iii) low-level divergence from nuclear markers among the regions” (Yoshino et al. 2008)",yoshino2008,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,chen2009,Endangered under Japanese Ministry of Environment but not assessed individually from Rhinolophus cornutus by IUCN,,700065,72
Okinawa horseshoe bats South colonies echolocation call frequency,"Echolocation sampled from caves across Okinawa, labeled north or south colonies (caves or tunnels). South colonies mainly in limestone caves. ""On Okinawa-jima, the range in CF was 105.9–118.2 kHz in males, and 108.2–118.9 kHz in females, with a clear bimodal geographic pattern, and intermediates between the two distributions near the putative geographic barrier..First, two regions were defined where CF was statistically similar — ‘low frequency region, LFR’ (N1–N3 and N5; 106–110 kHz for males and 108–112 kHz for females; excluding N4) and ‘high frequency region; HFR’ (S1–S3, 114–118 kHz for males and 115–119 kHz for females). Second, regions with similar CF can also be recognized based on the bimodal CF frequency distribution — ‘north region, NR’ (N1–N5 and M; 106–113 for males and 108– 113 kHz for females) and ‘south region, SR’ (S1–S4, 112– 118 kHz for males and 112–119 kHz for females)."" (Yoshino et al. 2008)",yoshino2008,not searched,not searched,yes,"“The maternal transmission hypothesis predicts that the divergence of CF between regions is maintained by (i) the transmission of a colony signature CF from mother to offspring; (ii) females have limited dispersal between regions; and (iii) maternally inherited traits tend to spread faster than neutral nuclear genetic makers owing to a smaller effective population size…The conditions for this hypothesis were met in the present study, namely that (i) divergence of mtDNA markers was observed between regions with different mean CF (supported by the Mantel test); (ii) the degree of genetic divergence estimated by maternally inherited genetic markers was larger than that of nuclear markers, and (iii) low-level divergence from nuclear markers among the regions” (Yoshino et al. 2008)",yoshino2008,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,yoshino2008,Endangered under Japanese Ministry of Environment but not assessed individually from Rhinolophus cornutus by IUCN,,700066,73
Ooty shortwings song,"Male breeding songs: ""A qualitative, visual and aural examination of spectrograms revealed that Ooty songs were most different from those of the Kodaikanal and Grasshills populations, while these two were more similar to one another. In the Ooty population, certain notes were short and repeated often, while the songs were fairly simple with no complex, long notes (Fig. 4). The Grasshills and Kodaikanal populations had longer and more variable notes in their repertoire."" (Robin et al. 2011)",robin2011,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,,robin2011,"""On a single sky island, the Anamalai–Palni Hills, the Grasshills and Kodaikanal populations are similar genetically, although they have been separated by deforested lands for over a century...The study populations of the white-bellied shortwing continue to be under severe threat of habitat loss, fragmentation and degradation from human activities (Collar et al. 2001). In addition to threatening their survival, such fragmentation may impact these populations in several hitherto undiscovered ways, one of which could be the generation of cultural divergence in birdsong. It has been strongly suggested that, in addition to ecosystem, species and genetic diversity, populations with culturally differentiated traits be considered for conservation as a fourth level of biodiversity (Caro, 2007, Laiolo and Tella, 2007). While conservation attention should clearly be directed towards the two newly discovered shortwing species across the Palghat Gap (Robin et al. 2010), such efforts must also take into account the protection of populations with unique songs, including that in Kodaikanal, south of the Gap.""",robin2011,700067,74
Pacific Coast Feeding Aggregation site fidelity,"learned site fidelity and recruitment to Pacific Coast Feeding Group or Aggregation (PCFG), which forage in southern areas on western North American coast instead of completing migration to Berin Sea. This study focused on mother and calf pairs in Clayoquot Sound, where return rate of calves in subsequent summers tracked mother's use rather than prey availability, indicating vertical transmission of site fidelity during first/weaning year from mother, also supported by recordings of ""motherese"" calls in this site (Burnham & Duffus 2020)",burnhamduffus2020,not searched,not searched,yes,"""Vertical cultural transfer of migration route, foraging site use and fidelity, and prey preference has been demonstrated here for gray whales and the use of Clayoquot Sound""",burnhamduffus2020,no,"study recorded communication and site fidelity transmission between mothers and calves; no indication of social interactions with other whales (Burnham & Duffus 2020). From GBIF: ""There is no evidence of social bonding other than during copulation and between mother — offspring pairs""",burnhamduffus2020,no,"study recorded communication and site fidelity transmission between mothers and calves; no indication of social interactions with other whales (Burnham & Duffus 2020). From GBIF: ""There is no evidence of social bonding other than during copulation and between mother — offspring pairs""",burnhamduffus2020,foraging; vocal communication; antipredation,"""Our study area has features that may confer protection from predators, and so use of the site and behavior may be more indicative of antipredator strategies than prey availability"" (Burnham & Duffus 2020)",burnhamduffus2020,not searched,not searched,700068,75
Papallacta sparrows song dialect,"Males sing two song types during breeding season which differ in the starting theme portion and end with a trill. In Papallacta population, themes consist of two to three notes compared with one to two in neighboring Pintag population. Distinct song dialect and distinct genetically from Pintag (Moore et al. 2005)",moore2005,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,maybe,"""Little is known about Z. capensis song learning or dispersal, but we predict that male Z. capensis do not have the capability to match new songs post-dispersal and that they disperse short distances, remaining within their dialectal groups. Female Z. capensis showed less evidence of dispersal than males, which is consistent with the congener Z. leucophrys (Morton, 1997), but opposite from birds in general (Greenwood & Harvey, 1982)."" (Danner et al. 2017)",danner2017,vocal communication; mating,"experimental study on Papallacta and Pintag populations females responded preferentially to local dialect ""females from both populations gave few copulation solicitations in response to songs from only 25 km away"" (Danner et al. 2011)",danner2011,not searched,not searched,700070,76
Pennsylvania elk group bugle calls,"North American elks are polgynous and vocalization produced by males during breeding season: ""The bugle call has three major segments: (1) on-glide, a gradual increase in frequency; (2) whistle, a sustained tone; and (3) off-glide, a rapid decrease in frequency, which may be followed by staccato yelps in a minority of cases...Significant differences existed in the acoustic characteristics of bugle calls in the frequency and time domains between the source population in Wyoming and the translocated populations in Colorado and Pennsylvania...In the autumn breeding season, mature male North American elk defend groups of females that are typically accompanied by their young from the previous spring. During this time, bull elk repeatedly utter the announcement bugle calls that advertise their presence and, if challenged by a rival, they utter aggressive bugle calls (Feighny et al. 2006). Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012)."" (Nelson-Reinier & Clarke 2023)",nelsonreinier2023,not searched,not searched,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012)."" (Nelson-Reinier & Clarke 2023)",nelsonreinier2023,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012).""",nelsonreinier2023,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012).""",nelsonreinier2023,vocal communication; mating,,nelsonreinier2023,not searched,not searched,700071,77
Plus-One clan coda dialect,"Sperm whales socially communicate with stereotyped click patterns, with vocal clans defined by social units sharing similar coda repertoires. Plus-One clan repertoire characterized by codas with pause before final click. ""recent work showed that sperm whale clans in both the Atlantic and Pacific Oceans could be computationally distinguished by largely clan-specific “identity codas”, as opposed to “nonidentity codas” made by multiple clans (20)…No single coda type is unique to a single clan, which means that clans occasionally make each other’s identity codas. However, the between-clan analyses suggest that clans make other clans’ identity codas less frequently in areas of higher spatial overlap. Theoretically, this adjustment would improve a whale’s ability to quickly discern whether nearby individuals are from their own clan or not, which could guide decisions about social assortment or avoidance (21, 38). Although sperm whales associate at the surface, over 70% of their time is spent independently foraging (39). Identity coda symbolic markers could help whales reunite and reaffirm their social ties in between long foraging dives, even in the absence of other clans"" (Hersh et al. 2022)",hersh2022,not searched,not searched,suspected unknown,"modeling social transmission with agent-based models informed by sperm whale social structure and acoustic data. ""Whereas vertical, mother–offspring, social learning can establish and maintain behavioural traits in some cetacean populations (for example, tool use and foraging tactics in bottlenose dolphins)49,54, our models suggest that oblique social learning is necessary to promote clan-like vocal repertoires among sperm whales."" (Cantor et al. 2015)",cantor2015,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"modeling social transmission with agent-based models informed by sperm whale social structure and acoustic data. ""Whereas vertical, mother–offspring, social learning can establish and maintain behavioural traits in some cetacean populations (for example, tool use and foraging tactics in bottlenose dolphins)49,54, our models suggest that oblique social learning is necessary to promote clan-like vocal repertoires among sperm whales."" (Cantor et al. 2015)",cantor2015,vocal communication; social,,hersh2022,not searched,not searched,700072,78
Presidio dialect white-crowned sparrows song dialect,"""There was a large amount of turnover in the dialects sung by individuals in the Presidio and Lake Merced regions between 1969/1970 and the 1990s. In the Presidio, the P dialect went extinct, decreasing from 64 to 0 per cent between 1969/1970 and 1998, while the SF dialect increased from 29 to 95 per cent. The remaining birds sang P/SF hybrid songs"" (Luther & Baptista 2010)",luther2010,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,yes,"From 1998 study in San Francisco, male sparrows learn songs of adult neighbors rather than fathers (Bell et al. 1998)",bell1998,vocal communication; mating,,bell1998,"""Urban noise, which is louder at low frequencies, increased during our study period and therefore should have created a selection pressure for songs with higher frequencies. We found that the minimum frequency of songs increased both within and between dialects during the 30-year time span...We suggest that the observed change occurred as a result of more efficient transmission of songs with higher frequencies in an urban environment"" (Luther & Baptista 2010)",luther2010,700073,79
R-type killer whales groundfish depredation,"Resident (R-type) killer whales in the North Pacific primarily eat fish; depredation of groundfish from longline fisheries. ""Analysis of the associations between n = 532 whales seen on more than one occasion revealed one large network of 441 (83 %) connected individuals, and some peripheral groupings comprising 91 individuals that were unconnected to the large network...We hypothesize that depredation behavior is likely first spread within groups of consistent associates (likely matrilines) and then spread to associating groups that may witness depredation during these associations. During this study, we observed large aggregations of whales (max encounter group size = 120) likely composed of multiple matrilines traveling and feeding together (median encounter group size = 15, consistent with a single matriline; see Matkin et al. 1999; Ford et al. 2000)"" (Fearnbach et al. 2014)",fearnbach2014,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"""At a larger scale, the four defined clusters were linked by occasional associations to form a single large connected network, with an expansive longitudinal range (ca. 3,000 km)...the large connected network may facilitate the spread of information throughout the population by cultural transmission...We hypothesize that depredation behavior is likely first spread within groups of consistent associates (likely matrilines) and then spread to associating groups that may witness depredation during these associations. During this study, we observed large aggregations of whales (max encounter group size = 120) likely composed of multiple matrilines traveling and feeding together (median encounter group size = 15, consistent with a single matriline; see Matkin et al. 1999; Ford et al. 2000)"" (Fearnbach et al. 2014)",fearnbach2014,suspected unknown,suspected unknown,suspected unknown,foraging; social,knowledge of depredation may spread through social networks of matrilines,fearnbach2014,depredation of fish from human fishing lines; effects unclear but may lead to conflict with humans?,fearnbach2014,700074,80
Ramat-Aviv high dialect sunbirds song dialect,"different dialects within Ramat-Aviv neighborhood. ""The main distinction between the two dialects is the frequency of the trill, which comprises the last part of the song. There is a large difference of 2–3 kHz, with no overlap, in the maximum frequency of the trill, which in the “low” dialect reaches a mean of 5 kHz; in the “high” dialect, it reaches ≤8 kHz (Fig. 1)."" song important to breeding success: ""During the five-year course of the present study, we did not witness a single case of dialect-switching by new inhabitants in any of the >60 breeding territories monitored annually, which suggests that other selective pressures (e.g. social) could be at play, which may slow down any process of replacement of the high dialect."" (Leader et al. 2005)",leader2005,1999,1999,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"traffic noise for high dialect specifically; ""we examined how ambient noise—in particular, low-frequency noise arising mainly from automobile traffic—affects the transmission of both dialect songs. Finally, using song playback, we investigated the consequences of sound degradation on dialect recognition and discrimination by sunbirds. The dialect containing higher frequencies in the trill was found to undergo severe frequency-dependent attenuation... the dialect containing higher frequencies in the trill may be unsuitable for effective long-range transmission through this particular sunbird habitat.""",leader2005,vocal communication; mating,,leader2005,not searched,not searched,700075,81
Ramat-Aviv low dialect sunbirds song dialect,"different dialects within Ramat-Aviv neighborhood. ""The main distinction between the two dialects is the frequency of the trill, which comprises the last part of the song. There is a large difference of 2–3 kHz, with no overlap, in the maximum frequency of the trill, which in the “low” dialect reaches a mean of 5 kHz; in the “high” dialect, it reaches ≤8 kHz (Fig. 1)."" song important to breeding success: ""During the five-year course of the present study, we did not witness a single case of dialect-switching by new inhabitants in any of the >60 breeding territories monitored annually, which suggests that other selective pressures (e.g. social) could be at play, which may slow down any process of replacement of the high dialect."" (Leader et al. 2005)",leader2005,1999,1999,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,,leader2005,not searched,not searched,700076,82
Regular clan coda dialect,"Sperm whales socially communicate with stereotyped click patterns, with vocal clans defined by social units sharing similar coda repertoires. Regular clan has nine identity codas with regularly-spaced clicks. ""recent work showed that sperm whale clans in both the Atlantic and Pacific Oceans could be computationally distinguished by largely clan-specific “identity codas”, as opposed to “nonidentity codas” made by multiple clans (20)…No single coda type is unique to a single clan, which means that clans occasionally make each other’s identity codas. However, the between-clan analyses suggest that clans make other clans’ identity codas less frequently in areas of higher spatial overlap. Theoretically, this adjustment would improve a whale’s ability to quickly discern whether nearby individuals are from their own clan or not, which could guide decisions about social assortment or avoidance (21, 38). Although sperm whales associate at the surface, over 70% of their time is spent independently foraging (39). Identity coda symbolic markers could help whales reunite and reaffirm their social ties in between long foraging dives, even in the absence of other clans"" (Hersh et al. 2022)",hersh2022,not searched,not searched,suspected unknown,"modeling social transmission with agent-based models informed by sperm whale social structure and acoustic data. ""Whereas vertical, mother–offspring, social learning can establish and maintain behavioural traits in some cetacean populations (for example, tool use and foraging tactics in bottlenose dolphins)49,54, our models suggest that oblique social learning is necessary to promote clan-like vocal repertoires among sperm whales."" (Cantor et al. 2015)",cantor2015,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"modeling social transmission with agent-based models informed by sperm whale social structure and acoustic data. ""Whereas vertical, mother–offspring, social learning can establish and maintain behavioural traits in some cetacean populations (for example, tool use and foraging tactics in bottlenose dolphins)49,54, our models suggest that oblique social learning is necessary to promote clan-like vocal repertoires among sperm whales."" (Cantor et al. 2015)",cantor2015,vocal communication; social,,hersh2022,not searched,not searched,700077,83
Resident Commander Islands beaked whales shallow habitat foraging,"use of shallow areas ""where the shelf slope recedes from the coast"" and is likely an area where prey species aggregate, allowing the whales to feed at lower depths and use less energy than they would by diving ""making this tradition beneficial and ensuring its persistence and transmission within the local Baird's beaked whale community"" (Filatova et al. 2024)",filatova2024,2008,2019,yes,"""Vertical transmission is also highly likely, because the shallows were often visited by mothers with calves/juveniles, and juvenile Baird's beaked whales stay with their mothers for long periods until the age of 6–9 years (Fedutin, 2021), allowing them enough time to become familiar with the shallows"" (Filatova et al. 2024)",filatova2024,yes,"transmitted across groups from resident to some transient whales: ""In the social network of Baird's beaked whales from this study, the only transient whales that visited the shallows were those that socialized with the shallow-using residents, suggesting horizontal transmission among adult animals"" (Filatova et al. 2024). ""We found that the whales that frequently visited the study area, and therefore were familiar with the underwater landscape, often used the shallow areas of the shelf slope, while transient whales, unfamiliar with the local conditions, mostly adhered to the depth range typical of their species. Only those transient whales that maintained social bonds with residents were sometimes observed in shallow areas. Order-of-acquisition diffusion analysis showed that social transmission of knowledge about the shallow habitat was significantly more likely than individual asocial learning."" (Filatova et al. 2024)",filatova2024,suspected unknown,suspected unknown,suspected unknown,foraging,using shallows to hunt prey species,filatova2024,authors note potential importance to conservation policy but not specific threats,filatova2024,700078,84
Rodman cacique colony vocal dialect,"Males sing in ""nesting colonies of up to 100 nests in a single tree...all adult male members of a colony shared the same set of 5 to 8 song types...defined cacique dialects as systems of shared songs in which all song types were shared among all males in an area. I considered two colonies that held only some of their song types in common to belong to different dialects because a male at one colony shared only part of his repertoire with a male at the other colony"". Song types distinct and consistent within colonies throughout the season, although some would change gradually, and would sometimes change types between breeding seasons, either from the gradual changes from previous season and throughout the year or new variants from males dispersing from other dialect areas. ""while some song types were introduced from other colonies, most songs underwent gradual change, with new versions arising within colonies. Because these gradual changes were directional, they are unlikely to have been produced by copy-error or cultural drift, and may have resulted from cultural adaptation, in which individuals benefit by adopting certain cultural variants."" (Trainer 1989)",trainer1989,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,yes,"""Two phenomena contributed to the maintenance of uniformity within colonies: the adoption of local song types by dispersing males, and the conformity among individuals in the gradual changes that occurred in songs"". Males would adopt completely dialect of new colony after dispersal and did not retain any elements from previous colony",trainer1989,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,,trainer1989,not searched,not searched,700079,85
Rottnest Island Gerygones song type,"Song recorded in population on Rottnest Island differed from typical song form sung on mainland. ""The most conservative view of our results indicates that at least 37% of the Rottnest Island population of Western Gerygones sing a unique rhythmic song not present in well-sampled mainland populations, and that at least 17% of Rottnest birds sang both the rhythmic and the standard songs. We conclude that a new song form and a song repertoire have evolved in the Western Gerygone population of Rottnest."" (Baker et al. 2003)",baker2003,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,Songs sung during breeding season as part of territorial advertisement (Baker et al. 2003),baker2003,not searched,not searched,700080,86
Samburu elephant population elephant rumbles,"Elephants use low-frequency calls known as rumbles, which are distinct based on individual identity and change with age. Adults female elephants in Amboseli population used lower frequency rumbles than those in Samburu population. Primary social unit is core group < bond group < clan; there seem to be multiple clans in each population. These populations are in similar acoustic environments and do not differ on average in body size. ""In elephants, vocal production learning seems more likely than usage learning to explain the population differences we observed, given that they were structural differences in a single call type. However, we cannot definitively rule out the possibility that Amboseli and Samburu elephants share the same repertoire of rumble subtypes but differ in the contexts in which each subtype is used, thus leading to an average difference in the fundamental frequency of rumbles recorded from the two populations."" (Pardo et al. 2024)",pardo2024,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; social,,pardo2024,"""Elephants are often translocated between populations to facilitate gene flow, reduce ecological damage caused by local overcrowding or mitigate human–elephant conflict [32,69]. Our finding that elephant populations less than 400 km apart exhibit significant differences in the structure of their rumble vocalizations could thus have important implications for elephant conservation, especially if the differences are found to result from cultural or genetic divergence, rather than acute responses to local environmental conditions...Further study is warranted to determine whether vocal differences between elephant populations impede communication or social integration. If so, translocation efforts should attempt to quantify and account for behavioural compatibility between populations when deciding where to move individuals, to the extent that it is feasible to do so."" (Pardo et al. 2024)",pardo2024,700081,87
